dprime,criterion_c,target_present_response_rate,false_alarm_rate
0.0,-0.5244005127080407,0.7,0.7
0.025,-0.5119005127080407,0.7,0.6912513709624118
0.05,-0.49940051270804064,0.7,0.6823928362442108
0.07500000000000001,-0.4869005127080407,0.7,0.6734286192372051
0.1,-0.4744005127080407,0.7,0.6643631265606706
0.125,-0.46190051270804067,0.7,0.6552009418821606
0.15000000000000002,-0.44940051270804066,0.7,0.6459468192236353
0.17500000000000002,-0.43690051270804064,0.7,0.63660567576828
0.2,-0.4244005127080407,0.7,0.6271825841854266
0.225,-0.4119005127080407,0.7,0.6176827644929802
0.25,-0.39940051270804067,0.7,0.6081115754786809
0.275,-0.38690051270804066,0.7,0.5984745057033719
0.30000000000000004,-0.37440051270804064,0.7,0.588777164111214
0.325,-0.3619005127080407,0.7,0.5790252702734439
0.35000000000000003,-0.3494005127080406,0.7,0.5692246442938427
0.375,-0.33690051270804067,0.7,0.5593811964055228
0.4,-0.32440051270804066,0.7,0.54950091628997
0.42500000000000004,-0.31190051270804064,0.7,0.5395898621504776
0.45,-0.2994005127080407,0.7,0.5296541495731669
0.47500000000000003,-0.2869005127080406,0.7,0.5196999402097165
0.5,-0.27440051270804067,0.7,0.5097334303166925
0.525,-0.26190051270804066,0.7,0.4997608391869992
0.55,-0.24940051270804064,0.7,0.48978839750944303
0.5750000000000001,-0.23690051270804063,0.7,0.4798223356927096
0.6000000000000001,-0.22440051270804062,0.7,0.4698688721902167
0.625,-0.21190051270804067,0.7,0.459934201862298
0.65,-0.19940051270804066,0.7,0.4500244844120092
0.675,-0.18690051270804064,0.7,0.4401458329305298
0.7000000000000001,-0.17440051270804063,0.7,0.43030430258765096
0.7250000000000001,-0.16190051270804062,0.7,0.4205058795022121
0.75,-0.14940051270804067,0.7,0.4107564698265631
0.775,-0.13690051270804066,0.7,0.40106188907820295
0.8,-0.12440051270804064,0.7,0.3914278517506744
0.8250000000000001,-0.11190051270804063,0.7,0.3818599612345909
0.8500000000000001,-0.09940051270804062,0.7,0.37236370007833997
0.875,-0.08690051270804067,0.7,0.36294442061655274
0.9,-0.07440051270804066,0.7,0.3536073359928638
0.925,-0.061900512708040645,0.7,0.34435751160181544
0.9500000000000001,-0.049400512708040634,0.7,0.3351998569729939
0.9750000000000001,-0.03690051270804062,0.7,0.3261391181186344
1.0,-0.024400512708040667,0.7,0.31717987036400425
1.0250000000000001,-0.0119005127080406,0.7,0.3083265116778815
1.05,0.0005994872919593552,0.7,0.2995832565183998
1.075,0.01309948729195931,0.7,0.29095413020743577
1.1,0.025599487291959377,0.7,0.28244296384459533
1.125,0.03809948729195933,0.7,0.2740533897697052
1.1500000000000001,0.0505994872919594,0.7,0.26578883758055705
1.175,0.06309948729195936,0.7,0.25765253071049754
1.2000000000000002,0.07559948729195942,0.7,0.24964748356830285
1.225,0.08809948729195938,0.7,0.24177649924065503
1.25,0.10059948729195933,0.7,0.23404216775543407
1.2750000000000001,0.1130994872919594,0.7,0.2264468649019909
1.3,0.12559948729195936,0.7,0.21899275160255566
1.3250000000000002,0.13809948729195942,0.7,0.211681773826991
1.35,0.15059948729195938,0.7,0.20451566304122598
1.375,0.16309948729195933,0.7,0.19749593717789793
1.4000000000000001,0.1755994872919594,0.7,0.19062390211601943
1.425,0.18809948729195936,0.7,0.18390065365485286
1.4500000000000002,0.20059948729195942,0.7,0.1773270799656514
1.475,0.21309948729195938,0.7,0.17090386450349132
1.5,0.22559948729195933,0.7,0.16463148936010402
1.5250000000000001,0.2380994872919594,0.7,0.15851023903740502
1.55,0.25059948729195936,0.7,0.15254020462032403
1.5750000000000002,0.2630994872919594,0.7,0.14672128832656167
1.6,0.2755994872919594,0.7,0.14105320841004676
1.625,0.28809948729195933,0.7,0.1355355043941251
1.6500000000000001,0.3005994872919594,0.7,0.13016754260990654
1.675,0.31309948729195936,0.7,0.12494852201469714
1.7000000000000002,0.3255994872919594,0.7,0.11987748026507744
1.725,0.3380994872919594,0.7,0.11495330001893489
1.75,0.35059948729195933,0.7,0.11017471544062618
1.7750000000000001,0.3630994872919594,0.7,0.10554031888342558
1.8,0.37559948729195936,0.7,0.10104856772351078
1.8250000000000002,0.3880994872919594,0.7,0.09669779131993661
1.85,0.4005994872919594,0.7,0.09248619807535624
1.875,0.41309948729195933,0.7,0.08841188257265115
1.9000000000000001,0.4255994872919594,0.7,0.08447283276313305
1.925,0.43809948729195936,0.7,0.08066693718256773
1.9500000000000002,0.4505994872919594,0.7,0.07699199217194169
1.975,0.4630994872919594,0.7,0.07344570908064343
2.0,0.47559948729195933,0.7,0.07002572143054626
2.025,0.4880994872919593,0.7,0.06672959202036924
2.0500000000000003,0.5005994872919595,0.7,0.06355481995062849
2.075,0.5130994872919594,0.7,0.060498847550489225
2.1,0.5255994872919594,0.7,0.057559067188862265
2.125,0.5380994872919593,0.7,0.05473282795316887
2.15,0.5505994872919593,0.7,0.052017442180300015
2.1750000000000003,0.5630994872919595,0.7,0.04941019182543038
2.2,0.5755994872919594,0.7,0.04690833465549626
2.225,0.5880994872919594,0.7,0.04450911025530687
2.25,0.6005994872919593,0.7,0.042209745835427095
2.275,0.6130994872919593,0.7,0.04000746183213508
2.3000000000000003,0.6255994872919595,0.7,0.037899477290919366
2.325,0.6380994872919594,0.7,0.035883015026129485
2.35,0.6505994872919594,0.7,0.03395530655052662
2.375,0.6630994872919593,0.7,0.032113596769592245
2.4000000000000004,0.6755994872919595,0.7,0.03035514843653825
2.4250000000000003,0.6880994872919595,0.7,0.02867724636501718
2.45,0.7005994872919594,0.7,0.027077201397552552
2.475,0.7130994872919594,0.7,0.02555235412869382
2.5,0.7255994872919593,0.7,0.02410007838284322
2.5250000000000004,0.7380994872919595,0.7,0.022717784447602613
2.5500000000000003,0.7505994872919595,0.7,0.02140292206434296
2.575,0.7630994872919594,0.7,0.020152983178505186
2.6,0.7755994872919594,0.7,0.018965504452900718
2.625,0.7880994872919593,0.7,0.017838069547984187
2.6500000000000004,0.8005994872919595,0.7,0.016768311173728914
2.6750000000000003,0.8130994872919595,0.7,0.01575391291833658
2.7,0.8255994872919594,0.7,0.014792610859564289
2.725,0.8380994872919594,0.7,0.013882194964949909
2.75,0.8505994872919593,0.7,0.013020510287661033
2.7750000000000004,0.8630994872919595,0.7,0.012205457965088339
2.8000000000000003,0.8755994872919595,0.7,0.011434996027645023
2.825,0.8880994872919594,0.7,0.010707140025527789
2.85,0.9005994872919594,0.7,0.010019963481438708
2.875,0.9130994872919593,0.7,0.009371598177463213
2.9000000000000004,0.9255994872919595,0.7,0.008760234284451739
2.9250000000000003,0.9380994872919595,0.7,0.008184120342358346
2.95,0.9505994872919594,0.7,0.007641563100056068
2.975,0.9630994872919594,0.7,0.007130927223173514
3.0,0.9755994872919593,0.7,0.0066506348784847935
