signal_representation,I_predator_type_signal_bits,I_predator_type_signal_plus_location_bits,I_predator_type_location_bits,BROJA_signal_unique_bits,BROJA_context_unique_bits,BROJA_redundancy_bits,BROJA_synergy_bits,BROJA_synergy_fraction_total,fraction_signal_residual_uncertainty_removed_by_location,exact_location_swap_p,permutation_null_mean,permutation_null_q95,cluster_bootstrap_q025,cluster_bootstrap_q975,SX_synergy_bits,SX_redundancy_bits,SX_signal_unique_bits,SX_context_unique_bits
first_call,0.31127812445913283,0.5,0.0,0.31127812445913283,0.0,0.0,0.18872187554086717,0.37744375108173434,0.27401754212128093,0.0625,0.029746077491392207,0.18872187554086717,0.18872187554086717,0.18872187554086717,0.14624062518028902,-0.042481250360578135,0.353759374819711,0.042481250360578135
all_A_B_calls,0.5447068563599604,0.622178228489656,2.162312890075065e-15,0.5447068563599585,2.220446049250313e-16,1.887379141862766e-15,0.07747137212969535,0.12451636618297927,0.17015712450733805,0.0625,0.03404583595053849,0.07938244615220989,0.034895379820169325,0.10968573527411637,0.34243657600375305,0.26496520387405964,0.27974165248590077,-0.2649652038740575
early_calls_2_4,0.6466406649785787,0.7038830210957338,4.805139755722375e-16,0.6466406649785783,0.0,4.440892098500626e-16,0.057242356117155,0.08132367794302796,0.1619947471139679,1.0,0.06367346893106185,0.0701045817449687,0.0,0.10035525213175145,0.36582658489205105,0.30858422877489655,0.3380564362036822,-0.30858422877489605
mid_calls_5_15,0.7896436546976717,0.823768209376835,6.406853007629831e-16,0.7896436546976712,1.1102230246251565e-16,5.551115123125783e-16,0.0341245546791632,0.04142494732223009,0.16222260673962,1.0,0.03496283556543847,0.03580111645171369,0.0,0.08635195198840762,0.3875659169642354,0.3534413622850728,0.43620229241259895,-0.3534413622850721
late_calls_16_30,0.4417985254219831,0.548012866016147,-5.605996381676111e-16,0.4417985254219834,-2.7755575615628914e-16,-2.7755575615628914e-16,0.10621434059416412,0.19381723893875616,0.1902795772341136,0.125,0.049193401949503224,0.1429879657032352,0.054751749378074255,0.13858558046072733,0.30080977908455264,0.19459543849038824,0.24720308693159487,-0.1945954384903888
adjacent_A_B_bigrams,0.6054964139843476,0.7035138286168212,1.5216275893120834e-15,0.605496413984346,-1.1102230246251565e-16,1.6653345369377348e-15,0.09801741463247371,0.13932549815713755,0.2484576011650871,0.00390625,0.04234160055575817,0.08374410109191,0.035556986049837924,0.14313927040323188,0.3754699143274403,0.2774524996949682,0.3280439142893794,-0.2774524996949667
